id,location,date,total_cases,new_cases,total_deaths,new_deaths
151,Australia,1/26/2020,4,4,,
152,Canada,1/26/2020,1,1,,
153,China,1/26/2020,2075,669,56,14
154,Europe,1/26/2020,3,0,,0
155,European Union,1/26/2020,3,0,,0
156,France,1/26/2020,3,0,,
157,Japan,1/26/2020,4,2,,
158,Malaysia,1/26/2020,4,1,,
159,Mexico,1/26/2020,,,,
160,Nepal,1/26/2020,1,0,,
161,North America,1/26/2020,6,4,,0
162,Oceania,1/26/2020,4,4,,0
163,Peru,1/26/2020,,,,
164,Singapore,1/26/2020,4,1,,
165,South Korea,1/26/2020,3,1,,
166,Taiwan,1/26/2020,4,1,,
167,Thailand,1/26/2020,8,2,,
168,United States,1/26/2020,5,3,,
169,Vietnam,1/26/2020,2,0,,
170,World,1/26/2020,2118,685,56,14
171,Argentina,1/27/2020,,,,
172,Asia,1/27/2020,2912,807,82,26
173,Australia,1/27/2020,5,1,,
174,Cambodia,1/27/2020,1,1,,
175,Canada,1/27/2020,1,0,,
176,China,1/27/2020,2877,802,82,26
177,Europe,1/27/2020,4,1,,0
178,European Union,1/27/2020,4,1,,0
179,France,1/27/2020,3,0,,
180,Germany,1/27/2020,1,1,,
181,Japan,1/27/2020,4,0,,
182,Malaysia,1/27/2020,4,0,,
183,Mexico,1/27/2020,,,,
184,Nepal,1/27/2020,1,0,,
185,North America,1/27/2020,6,0,,0
186,Oceania,1/27/2020,5,1,,0
187,Peru,1/27/2020,,,,
188,Singapore,1/27/2020,5,1,,
189,South Korea,1/27/2020,4,1,,
190,Sri Lanka,1/27/2020,1,1,,
191,Taiwan,1/27/2020,5,1,,
192,Thailand,1/27/2020,8,0,,
193,United States,1/27/2020,5,0,,
194,Vietnam,1/27/2020,2,0,,
195,World,1/27/2020,2927,809,82,26
196,Argentina,1/28/2020,,,,
197,Asia,1/28/2020,5558,2646,131,49
198,Australia,1/28/2020,5,0,,
199,Cambodia,1/28/2020,1,0,,
200,Canada,1/28/2020,2,1,,
201,China,1/28/2020,5509,2632,131,49
202,Europe,1/28/2020,8,4,,0
203,European Union,1/28/2020,8,4,,0
204,France,1/28/2020,4,1,,
205,Germany,1/28/2020,4,3,,
206,Japan,1/28/2020,7,3,,
207,Malaysia,1/28/2020,4,0,,
208,Mexico,1/28/2020,,,,
209,Nepal,1/28/2020,1,0,,
210,North America,1/28/2020,7,1,,0
211,Oceania,1/28/2020,5,0,,0
212,Peru,1/28/2020,,,,
213,Singapore,1/28/2020,7,2,,
214,South Korea,1/28/2020,4,0,,
215,Sri Lanka,1/28/2020,1,0,,
216,Taiwan,1/28/2020,8,3,,
217,Thailand,1/28/2020,14,6,,
218,United States,1/28/2020,5,0,,
219,Vietnam,1/28/2020,2,0,,
220,World,1/28/2020,5578,2651,131,49
221,Argentina,1/29/2020,,,,
222,Asia,1/29/2020,6143,585,133,2
223,Australia,1/29/2020,6,1,,
224,Cambodia,1/29/2020,1,0,,
225,Canada,1/29/2020,2,0,,
226,China,1/29/2020,6087,578,133,2
227,Europe,1/29/2020,10,2,,0
228,European Union,1/29/2020,10,2,,0
229,Finland,1/29/2020,1,1,,
230,France,1/29/2020,5,1,,
231,Germany,1/29/2020,4,0,,
232,Japan,1/29/2020,7,0,,
233,Malaysia,1/29/2020,7,3,,
234,Mexico,1/29/2020,,,,
235,Nepal,1/29/2020,1,0,,
236,North America,1/29/2020,8,1,,0
237,Oceania,1/29/2020,6,1,,0
238,Peru,1/29/2020,,,,
239,Singapore,1/29/2020,7,0,,
240,South Korea,1/29/2020,4,0,,
241,Sri Lanka,1/29/2020,1,0,,
242,Taiwan,1/29/2020,8,0,,
243,Thailand,1/29/2020,14,0,,
244,United Arab Emirates,1/29/2020,4,4,,
245,United States,1/29/2020,6,1,,
246,Vietnam,1/29/2020,2,0,,
247,World,1/29/2020,6167,589,133,2
248,Argentina,1/30/2020,,,,
249,Asia,1/30/2020,8208,2065,171,38
250,Australia,1/30/2020,9,3,,
251,Cambodia,1/30/2020,1,0,,
252,Canada,1/30/2020,2,0,,
253,China,1/30/2020,8141,2054,171,38
254,Europe,1/30/2020,10,0,,0
255,European Union,1/30/2020,10,0,,0
256,Fiji,1/30/2020,,,,
257,Finland,1/30/2020,1,0,,
258,France,1/30/2020,5,0,,
259,Germany,1/30/2020,4,0,,
260,India,1/30/2020,1,1,,
261,Japan,1/30/2020,11,4,,
262,Malaysia,1/30/2020,8,1,,
263,Mexico,1/30/2020,,,,
264,Nepal,1/30/2020,1,0,,
265,North America,1/30/2020,8,0,,0
266,Oceania,1/30/2020,9,3,,0
267,Peru,1/30/2020,,,,
268,Philippines,1/30/2020,1,1,,
269,Singapore,1/30/2020,10,3,,
270,South Korea,1/30/2020,4,0,,
271,Sri Lanka,1/30/2020,1,0,,
272,Taiwan,1/30/2020,9,1,,
273,Thailand,1/30/2020,14,0,,
274,United Arab Emirates,1/30/2020,4,0,,
275,United States,1/30/2020,6,0,,
276,Vietnam,1/30/2020,2,0,,
277,World,1/30/2020,8235,2068,171,38
278,Argentina,1/31/2020,,,,
279,Asia,1/31/2020,9889,1681,213,42
280,Australia,1/31/2020,9,0,,
281,Cambodia,1/31/2020,1,0,,
282,Canada,1/31/2020,4,2,,
283,China,1/31/2020,9802,1661,213,42
284,Europe,1/31/2020,17,7,,0
285,European Union,1/31/2020,13,3,,0
286,Fiji,1/31/2020,,,,
287,Finland,1/31/2020,1,0,,
288,France,1/31/2020,5,0,,
289,Germany,1/31/2020,5,1,,
290,Hong Kong,1/31/2020,,,,
291,India,1/31/2020,1,0,,
292,Italy,1/31/2020,2,2,,
293,Japan,1/31/2020,15,4,,
294,Malaysia,1/31/2020,8,0,,
295,Mexico,1/31/2020,,,,
296,Nepal,1/31/2020,1,0,,
297,North America,1/31/2020,12,4,,0
298,Oceania,1/31/2020,9,0,,0
299,Peru,1/31/2020,,,,
300,Philippines,1/31/2020,1,0,,
301,Russia,1/31/2020,2,2,,
302,Singapore,1/31/2020,13,3,,
303,South Korea,1/31/2020,11,7,,
304,Sri Lanka,1/31/2020,1,0,,
305,Taiwan,1/31/2020,10,1,,
306,Thailand,1/31/2020,19,5,,
307,United Arab Emirates,1/31/2020,4,0,,
308,United Kingdom,1/31/2020,2,2,,
309,United States,1/31/2020,8,2,,
310,Vietnam,1/31/2020,2,0,,
311,World,1/31/2020,9927,1692,213,42
312,Argentina,2/1/2020,,,,
313,Asia,2/1/2020,11991,2102,259,46
314,Australia,2/1/2020,12,3,,
315,Cambodia,2/1/2020,1,0,,
316,Canada,2/1/2020,4,0,,
317,China,2/1/2020,11891,2089,259,46
318,Europe,2/1/2020,23,6,,0
319,European Union,2/1/2020,19,6,,0
320,Fiji,2/1/2020,,,,
321,Finland,2/1/2020,1,0,,
322,France,2/1/2020,6,1,,
323,Germany,2/1/2020,8,3,,
324,Hong Kong,2/1/2020,,,,
325,India,2/1/2020,1,0,,
326,Italy,2/1/2020,2,0,,
327,Japan,2/1/2020,20,5,,
328,Malaysia,2/1/2020,8,0,,
329,Mexico,2/1/2020,,,,
330,Nepal,2/1/2020,1,0,,
331,North America,2/1/2020,12,0,,0
332,Oceania,2/1/2020,12,3,,0
333,Peru,2/1/2020,,,,
334,Philippines,2/1/2020,1,0,,
335,Russia,2/1/2020,2,0,,
336,Singapore,2/1/2020,16,3,,
337,South Korea,2/1/2020,12,1,,
338,Spain,2/1/2020,1,1,,
339,Sri Lanka,2/1/2020,1,0,,
340,Sweden,2/1/2020,1,1,,
341,Taiwan,2/1/2020,10,0,,
342,Thailand,2/1/2020,19,0,,
343,United Arab Emirates,2/1/2020,4,0,,
344,United Kingdom,2/1/2020,2,0,,
345,United States,2/1/2020,8,0,,
346,Vietnam,2/1/2020,6,4,,
347,World,2/1/2020,12038,2111,259,46
348,Argentina,2/2/2020,,,,
349,Asia,2/2/2020,16738,4747,362,103
350,Australia,2/2/2020,12,0,,
351,Cambodia,2/2/2020,1,0,,
352,Canada,2/2/2020,4,0,,
353,China,2/2/2020,16630,4739,361,102
354,Cyprus,2/2/2020,,,,
355,Denmark,2/2/2020,,,,
356,Europe,2/2/2020,25,2,,0
357,European Union,2/2/2020,21,2,,0
358,Fiji,2/2/2020,,,,
359,Finland,2/2/2020,1,0,,
360,France,2/2/2020,6,0,,
361,Germany,2/2/2020,10,2,,
362,Hong Kong,2/2/2020,,,,
363,India,2/2/2020,2,1,,
364,Ireland,2/2/2020,,,,
365,Italy,2/2/2020,2,0,,
366,Japan,2/2/2020,20,0,,
367,Latvia,2/2/2020,,,,
368,Malaysia,2/2/2020,8,0,,
369,Mexico,2/2/2020,,,,
370,Nepal,2/2/2020,1,0,,
371,North America,2/2/2020,12,0,,0
372,Oceania,2/2/2020,12,0,,0
373,Peru,2/2/2020,,,,
374,Philippines,2/2/2020,2,1,1,1
375,Portugal,2/2/2020,,,,
376,Russia,2/2/2020,2,0,,
377,Singapore,2/2/2020,18,2,,
378,Slovenia,2/2/2020,,,,
379,South Korea,2/2/2020,15,3,,
380,Spain,2/2/2020,1,0,,
381,Sri Lanka,2/2/2020,1,0,,
382,Sweden,2/2/2020,1,0,,
383,Taiwan,2/2/2020,10,0,,
384,Thailand,2/2/2020,19,0,,
385,United Arab Emirates,2/2/2020,5,1,,
386,United Kingdom,2/2/2020,2,0,,
387,United States,2/2/2020,8,0,,
388,Vietnam,2/2/2020,6,0,,
389,World,2/2/2020,16787,4749,362,103
390,Argentina,2/3/2020,,,,
391,Asia,2/3/2020,19827,3089,426,64
392,Australia,2/3/2020,12,0,,
393,Cambodia,2/3/2020,1,0,,
394,Canada,2/3/2020,4,0,,
395,China,2/3/2020,19716,3086,425,64
396,Denmark,2/3/2020,,,,
397,Europe,2/3/2020,33,8,,0
398,European Union,2/3/2020,23,2,,0
399,Fiji,2/3/2020,,,,
400,Finland,2/3/2020,1,0,,
401,France,2/3/2020,6,0,,
402,Germany,2/3/2020,12,2,,
403,Hong Kong,2/3/2020,,,,
404,India,2/3/2020,3,1,,
405,Italy,2/3/2020,2,0,,
406,Japan,2/3/2020,20,0,,
407,Malaysia,2/3/2020,8,0,,
408,Mexico,2/3/2020,,,,
409,Nepal,2/3/2020,1,0,,
410,North America,2/3/2020,15,3,,0
411,Oceania,2/3/2020,12,0,,0
412,Peru,2/3/2020,,,,
413,Philippines,2/3/2020,2,0,1,0
414,Russia,2/3/2020,2,0,,
415,Singapore,2/3/2020,18,0,,
416,Slovenia,2/3/2020,,,,
417,South Korea,2/3/2020,15,0,,
418,Spain,2/3/2020,1,0,,
419,Sri Lanka,2/3/2020,1,0,,
420,Sweden,2/3/2020,1,0,,
421,Taiwan,2/3/2020,10,0,,
422,Thailand,2/3/2020,19,0,,
423,United Arab Emirates,2/3/2020,5,0,,
424,United Kingdom,2/3/2020,8,6,,
425,United States,2/3/2020,11,3,,
426,Vietnam,2/3/2020,8,2,,
427,World,2/3/2020,19887,3100,426,64
428,Argentina,2/4/2020,,,,
429,Asia,2/4/2020,23836,4009,492,66
430,Australia,2/4/2020,13,1,,
431,Belgium,2/4/2020,1,1,,
432,Cambodia,2/4/2020,1,0,,
433,Canada,2/4/2020,4,0,,
434,China,2/4/2020,23707,3991,491,66
435,Denmark,2/4/2020,,,,
436,Europe,2/4/2020,34,1,,0
437,European Union,2/4/2020,24,1,,0
438,Fiji,2/4/2020,,,,
439,Finland,2/4/2020,1,0,,
440,France,2/4/2020,6,0,,
441,Germany,2/4/2020,12,0,,
442,Hong Kong,2/4/2020,,,,
443,India,2/4/2020,3,0,,
444,Italy,2/4/2020,2,0,,
445,Japan,2/4/2020,22,2,,
446,Malaysia,2/4/2020,10,2,,
447,Mexico,2/4/2020,,,,
448,Nepal,2/4/2020,1,0,,
449,North America,2/4/2020,15,0,,0
450,Oceania,2/4/2020,13,1,,0
451,Peru,2/4/2020,,,,
452,Philippines,2/4/2020,2,0,1,0
453,Russia,2/4/2020,2,0,,
454,Singapore,2/4/2020,24,6,,
455,Slovenia,2/4/2020,,,,
456,South Korea,2/4/2020,16,1,,
457,Spain,2/4/2020,1,0,,
458,Sri Lanka,2/4/2020,1,0,,
459,Sweden,2/4/2020,1,0,,
460,Taiwan,2/4/2020,11,1,,
461,Thailand,2/4/2020,25,6,,
462,United Arab Emirates,2/4/2020,5,0,,
463,United Kingdom,2/4/2020,8,0,,
464,United States,2/4/2020,11,0,,
465,Vietnam,2/4/2020,8,0,,
466,World,2/4/2020,23898,4011,492,66
467,Argentina,2/5/2020,,,,
468,Asia,2/5/2020,27579,3743,564,72
