id,location,date,total_cases,new_cases,total_deaths,new_deaths
30854,France,8/5/2020,233344,1708,30311,11
30855,Gabon,8/5/2020,7787,141,51,0
30856,Gambia,8/5/2020,799,128,16,2
30857,Georgia,8/5/2020,1197,15,17,0
30858,Germany,8/5/2020,214113,1285,9179,16
30859,Ghana,8/5/2020,39075,1263,199,8
30860,Greece,8/5/2020,4974,119,210,1
30861,Grenada,8/5/2020,24,0,,
30862,Guatemala,8/5/2020,53509,1144,2072,35
30863,Guinea,8/5/2020,7575,86,49,1
30864,Guinea-Bissau,8/5/2020,2032,51,27,0
30865,Guyana,8/5/2020,509,12,22,0
30866,Haiti,8/5/2020,7511,35,166,1
30867,Honduras,8/5/2020,45098,799,1423,23
30868,Hong Kong,8/5/2020,,,,
30869,Hungary,8/5/2020,4564,11,599,1
30870,Iceland,8/5/2020,1926,8,10,0
30871,India,8/5/2020,1964536,56282,40699,904
30872,Indonesia,8/5/2020,116871,1815,5452,64
30873,International,8/5/2020,721,0,15,0
30874,Iran,8/5/2020,317483,2697,17802,185
30875,Iraq,8/5/2020,137556,2834,5094,77
30876,Ireland,8/5/2020,26303,50,1763,0
30877,Israel,8/5/2020,78286,1690,625,10
30878,Italy,8/5/2020,248803,384,35181,10
30879,Jamaica,8/5/2020,928,8,12,0
30880,Japan,8/5/2020,42686,1339,1028,5
30881,Jordan,8/5/2020,1231,7,11,0
30882,Kazakhstan,8/5/2020,102936,2861,1109,0
30883,Kenya,8/5/2020,23873,671,391,3
30884,Kosovo,8/5/2020,9492,218,284,15
30885,Kuwait,8/5/2020,69425,651,468,3
30886,Kyrgyzstan,8/5/2020,38110,569,1438,11
30887,Laos,8/5/2020,20,0,,
30888,Latvia,8/5/2020,1257,8,32,0
30889,Lebanon,8/5/2020,5417,355,68,3
30890,Lesotho,8/5/2020,726,0,21,0
30891,Liberia,8/5/2020,1221,5,78,0
30892,Libya,8/5/2020,4475,251,99,3
30893,Liechtenstein,8/5/2020,89,0,1,0
30894,Lithuania,8/5/2020,2141,10,64,1
30895,Luxembourg,8/5/2020,7007,90,118,0
30896,Madagascar,8/5/2020,12222,327,127,4
30897,Malawi,8/5/2020,4426,65,136,8
30898,Malaysia,8/5/2020,9023,21,125,0
30899,Maldives,8/5/2020,4594,148,19,0
30900,Mali,8/5/2020,2546,3,124,0
30901,Malta,8/5/2020,926,36,9,0
30902,Mauritania,8/5/2020,6444,26,157,0
30903,Mauritius,8/5/2020,344,0,10,0
30904,Mexico,8/5/2020,456100,6139,49698,829
30905,Moldova,8/5/2020,26222,408,823,13
30906,Monaco,8/5/2020,125,2,4,0
30907,Mongolia,8/5/2020,293,0,,
30908,Montenegro,8/5/2020,3411,50,57,4
30909,Morocco,8/5/2020,28500,1283,435,18
30910,Mozambique,8/5/2020,2079,50,15,0
30911,Myanmar,8/5/2020,357,1,6,0
30912,Namibia,8/5/2020,2540,70,12,0
30913,Nepal,8/5/2020,21390,381,60,2
30914,Netherlands,8/5/2020,56750,471,6173,3
30915,New Zealand,8/5/2020,1569,0,22,0
30916,Nicaragua,8/5/2020,3902,0,123,0
30917,Niger,8/5/2020,1152,0,69,0
30918,Nigeria,8/5/2020,44890,457,927,17
30919,North America,8/5/2020,5704153,66244,225111,2394
30920,North Macedonia,8/5/2020,11289,87,511,6
30921,Norway,8/5/2020,9409,47,256,0
30922,Oceania,8/5/2020,21639,484,280,8
30923,Oman,8/5/2020,80286,1127,488,67
30924,Pakistan,8/5/2020,281136,675,6014,15
30925,Palestine,8/5/2020,13065,295,89,3
30926,Panama,8/5/2020,70231,807,1553,31
30927,Papua New Guinea,8/5/2020,153,39,2,0
30928,Paraguay,8/5/2020,6060,208,61,2
30929,Peru,8/5/2020,447624,7734,20228,221
30930,Philippines,8/5/2020,115980,3387,2123,8
30931,Poland,8/5/2020,48789,640,1756,18
30932,Portugal,8/5/2020,51848,167,1740,1
30933,Qatar,8/5/2020,111805,267,178,1
30934,Romania,8/5/2020,56550,1309,2521,41
30935,Russia,8/5/2020,864948,5186,14465,138
30936,Rwanda,8/5/2020,2104,5,5,0
30937,Saint Kitts and Nevis,8/5/2020,17,0,,
30938,Saint Lucia,8/5/2020,25,0,,
30939,Saint Vincent and the Grenadines,8/5/2020,56,1,,
30940,San Marino,8/5/2020,699,0,42,0
30941,Sao Tome and Principe,8/5/2020,878,3,15,0
30942,Saudi Arabia,8/5/2020,282824,1368,3020,36
30943,Senegal,8/5/2020,10538,106,218,4
30944,Serbia,8/5/2020,27033,295,614,9
30945,Seychelles,8/5/2020,126,12,,
30946,Sierra Leone,8/5/2020,1860,5,67,0
30947,Singapore,8/5/2020,54254,908,27,0
30948,Slovakia,8/5/2020,2417,49,29,0
30949,Slovenia,8/5/2020,2208,18,124,1
30950,Somalia,8/5/2020,3227,7,93,0
30951,South Africa,8/5/2020,529877,8559,9298,414
30952,South America,8/5/2020,4444050,88371,152580,2255
30953,South Korea,8/5/2020,14499,43,302,0
30954,South Sudan,8/5/2020,2437,0,47,0
30955,Spain,8/5/2020,305767,2953,28499,1
30956,Sri Lanka,8/5/2020,2839,5,11,0
30957,Sudan,8/5/2020,11780,0,763,0
30958,Suriname,8/5/2020,2050,69,27,0
30959,Sweden,8/5/2020,78341,425,5760,13
30960,Switzerland,8/5/2020,35927,181,1984,3
30961,Syria,8/5/2020,944,52,48,2
30962,Taiwan,8/5/2020,476,0,7,0
30963,Tajikistan,8/5/2020,7625,42,61,0
30964,Tanzania,8/5/2020,509,0,21,0
30965,Thailand,8/5/2020,3328,7,58,0
30966,Timor,8/5/2020,25,0,,
30967,Togo,8/5/2020,1001,13,21,2
30968,Trinidad and Tobago,8/5/2020,199,5,8,0
30969,Tunisia,8/5/2020,1601,17,51,0
30970,Turkey,8/5/2020,236112,1178,5784,19
30971,Uganda,8/5/2020,1213,10,5,0
30972,Ukraine,8/5/2020,77169,1289,1813,25
30973,United Arab Emirates,8/5/2020,61606,254,353,2
30974,United Kingdom,8/5/2020,308832,906,41325,14
30975,United States,8/5/2020,4827936,54457,158982,1438
30976,Uruguay,8/5/2020,1309,9,37,0
30977,Uzbekistan,8/5/2020,27793,746,171,6
30978,Vatican,8/5/2020,12,0,,
30979,Venezuela,8/5/2020,22299,861,195,8
30980,Vietnam,8/5/2020,717,45,9,1
30981,World,8/5/2020,18825089,276575,703559,7051
30982,Yemen,8/5/2020,1763,3,508,2
30983,Zambia,8/5/2020,7022,229,176,3
30984,Zimbabwe,8/5/2020,4221,0,81,0
30985,Afghanistan,8/6/2020,36928,108,1301,5
30986,Africa,8/6/2020,1008219,14328,22069,431
30987,Albania,8/6/2020,6016,127,188,6
30988,Algeria,8/6/2020,33626,571,1273,12
30989,Andorra,8/6/2020,944,5,52,0
30990,Angola,8/6/2020,1483,88,64,2
30991,Antigua and Barbuda,8/6/2020,92,0,3,0
30992,Argentina,8/6/2020,228195,7513,4251,145
30993,Armenia,8/6/2020,39819,233,772,2
30994,Asia,8/6/2020,4786745,90743,105309,1394
30995,Australia,8/6/2020,20272,382,266,11
30996,Austria,8/6/2020,21696,130,719,0
30997,Azerbaijan,8/6/2020,33247,144,479,3
30998,Bahamas,8/6/2020,761,10,14,0
30999,Bahrain,8/6/2020,42889,375,156,2
31000,Bangladesh,8/6/2020,249651,2977,3306,39
31001,Barbados,8/6/2020,133,0,7,0
31002,Belarus,8/6/2020,68503,127,580,3
31003,Belgium,8/6/2020,72016,858,9861,2
31004,Belize,8/6/2020,114,28,2,0
31005,Benin,8/6/2020,1936,0,38,0
31006,Bhutan,8/6/2020,108,3,,
31007,Bolivia,8/6/2020,86423,1282,3465,80
31008,Bosnia and Herzegovina,8/6/2020,13396,258,384,5
31009,Botswana,8/6/2020,804,0,2,0
31010,Brazil,8/6/2020,2912212,53139,98493,1237
31011,Brunei,8/6/2020,141,0,3,0
31012,Bulgaria,8/6/2020,13014,297,435,11
31013,Burkina Faso,8/6/2020,1158,5,54,0
31014,Burundi,8/6/2020,400,5,1,0
31015,Cambodia,8/6/2020,243,0,,
31016,Cameroon,8/6/2020,17718,0,391,0
31017,Canada,8/6/2020,120387,354,9055,6
31018,Cape Verde,8/6/2020,2734,45,27,0
31019,Central African Republic,8/6/2020,4620,2,59,0
31020,Chad,8/6/2020,942,3,76,1
31021,Chile,8/6/2020,366671,1948,9889,97
31022,China,8/6/2020,88460,132,4680,3
31023,Colombia,8/6/2020,357710,11996,11939,315
31024,Comoros,8/6/2020,396,8,7,0
31025,Congo,8/6/2020,3546,0,58,0
31026,Costa Rica,8/6/2020,21070,653,200,9
31027,Cote d'Ivoire,8/6/2020,16447,98,103,0
31028,Croatia,8/6/2020,5404,28,155,1
31029,Cuba,8/6/2020,2775,49,88,0
31030,Cyprus,8/6/2020,1208,13,19,0
31031,Czechia,8/6/2020,17731,202,390,2
31032,Democratic Republic of Congo,8/6/2020,9309,56,215,0
31033,Denmark,8/6/2020,14586,146,617,1
31034,Djibouti,8/6/2020,5330,0,59,0
31035,Dominica,8/6/2020,18,0,,
31036,Dominican Republic,8/6/2020,76536,876,1246,24
31037,Ecuador,8/6/2020,90537,1671,5877,30
31038,Egypt,8/6/2020,95006,131,4951,21
31039,El Salvador,8/6/2020,19126,425,513,15
31040,Equatorial Guinea,8/6/2020,4821,0,83,0
31041,Eritrea,8/6/2020,282,0,,
31042,Estonia,8/6/2020,2124,11,63,0
31043,Eswatini,8/6/2020,2968,59,55,2
31044,Ethiopia,8/6/2020,20900,564,365,9
31045,Europe,8/6/2020,2986580,21947,200347,327
31046,European Union,8/6/2020,1512263,12555,136751,110
31047,Fiji,8/6/2020,27,0,1,0
31048,Finland,8/6/2020,7532,20,331,0
31049,France,8/6/2020,234945,1601,30315,4
31050,Gabon,8/6/2020,7787,0,51,0
31051,Gambia,8/6/2020,935,136,16,0
31052,Georgia,8/6/2020,1206,9,17,0
31053,Germany,8/6/2020,215039,926,9181,2
31054,Ghana,8/6/2020,39642,567,199,0
31055,Greece,8/6/2020,5123,149,210,0
31056,Grenada,8/6/2020,24,0,,
31057,Guatemala,8/6/2020,54339,830,2119,47
31058,Guinea,8/6/2020,7664,89,49,0
31059,Guinea-Bissau,8/6/2020,2032,0,27,0
31060,Guyana,8/6/2020,538,29,22,0
31061,Haiti,8/6/2020,7532,21,171,5
31062,Honduras,8/6/2020,45755,657,1446,23
31063,Hong Kong,8/6/2020,,,,
31064,Hungary,8/6/2020,4597,33,600,1
31065,Iceland,8/6/2020,1932,6,10,0
31066,India,8/6/2020,2027074,62538,41585,886
31067,Indonesia,8/6/2020,118753,1882,5521,69
31068,International,8/6/2020,721,0,15,0
31069,Iran,8/6/2020,320117,2634,17976,174
31070,Iraq,8/6/2020,140603,3047,5161,67
31071,Ireland,8/6/2020,26372,69,1768,5
31072,Israel,8/6/2020,79963,1677,634,9
31073,Italy,8/6/2020,249204,401,35187,6
31074,Jamaica,8/6/2020,958,30,12,0
31075,Japan,8/6/2020,44167,1481,1034,6
31076,Jordan,8/6/2020,1232,1,11,0
31077,Kazakhstan,8/6/2020,105526,2590,1109,0
31078,Kenya,8/6/2020,24411,538,399,8
31079,Kosovo,8/6/2020,9688,196,300,16
31080,Kuwait,8/6/2020,70045,620,469,1
31081,Kyrgyzstan,8/6/2020,38659,549,1447,9
31082,Laos,8/6/2020,20,0,,
31083,Latvia,8/6/2020,1275,18,32,0
31084,Lebanon,8/6/2020,5672,255,70,2
31085,Lesotho,8/6/2020,742,16,23,2
31086,Liberia,8/6/2020,1224,3,78,0
31087,Libya,8/6/2020,4879,404,107,8
31088,Liechtenstein,8/6/2020,89,0,1,0
31089,Lithuania,8/6/2020,2165,24,64,0
31090,Luxembourg,8/6/2020,7073,66,119,1
31091,Madagascar,8/6/2020,12526,304,134,7
31092,Malawi,8/6/2020,4491,65,137,1
31093,Malaysia,8/6/2020,9038,15,125,0
31094,Maldives,8/6/2020,4680,86,19,0
31095,Mali,8/6/2020,2552,6,124,0
31096,Malta,8/6/2020,946,20,9,0
31097,Mauritania,8/6/2020,6444,0,157,0
31098,Mauritius,8/6/2020,344,0,10,0
31099,Mexico,8/6/2020,462690,6590,50517,819
31100,Moldova,8/6/2020,26628,406,828,5
31101,Monaco,8/6/2020,125,0,4,0
31102,Mongolia,8/6/2020,293,0,,
31103,Montenegro,8/6/2020,3480,69,60,3
31104,Morocco,8/6/2020,29644,1144,449,14
31105,Mozambique,8/6/2020,2120,41,15,0
31106,Myanmar,8/6/2020,357,0,6,0
31107,Namibia,8/6/2020,2652,112,15,3
31108,Nepal,8/6/2020,21750,360,65,5
31109,Netherlands,8/6/2020,57465,715,6173,0
31110,New Zealand,8/6/2020,1569,0,22,0
31111,Nicaragua,8/6/2020,3902,0,123,0
31112,Niger,8/6/2020,1153,1,69,0
31113,Nigeria,8/6/2020,45244,354,930,3
31114,North America,8/6/2020,5775231,71078,227324,2213
31115,North Macedonia,8/6/2020,11399,110,517,6
31116,Norway,8/6/2020,9468,59,256,0
31117,Oceania,8/6/2020,22031,392,292,12
31118,Oman,8/6/2020,80713,427,492,4
31119,Pakistan,8/6/2020,281863,727,6035,21
31120,Palestine,8/6/2020,13398,333,92,3
31121,Panama,8/6/2020,71418,1187,1574,21
31122,Papua New Guinea,8/6/2020,163,10,3,1
31123,Paraguay,8/6/2020,6375,315,66,5
31124,Peru,8/6/2020,455409,7785,20424,196
31125,Philippines,8/6/2020,119460,3480,2150,27
31126,Poland,8/6/2020,49515,726,1774,18
31127,Portugal,8/6/2020,52061,213,1743,3
31128,Qatar,8/6/2020,112092,287,178,0
31129,Romania,8/6/2020,57895,1345,2566,45
31130,Russia,8/6/2020,870187,5239,14579,114
31131,Rwanda,8/6/2020,2111,7,5,0
31132,Saint Kitts and Nevis,8/6/2020,17,0,,
31133,Saint Lucia,8/6/2020,25,0,,
31134,Saint Vincent and the Grenadines,8/6/2020,56,0,,
31135,San Marino,8/6/2020,699,0,42,0
31136,Sao Tome and Principe,8/6/2020,878,0,15,0
31137,Saudi Arabia,8/6/2020,284226,1402,3055,35
31138,Senegal,8/6/2020,10715,177,223,5
31139,Serbia,8/6/2020,27332,299,621,7
31140,Seychelles,8/6/2020,126,0,,
31141,Sierra Leone,8/6/2020,1877,17,67,0
31142,Singapore,8/6/2020,54555,301,27,0
31143,Slovakia,8/6/2020,2480,63,29,0
31144,Slovenia,8/6/2020,2223,15,125,1
31145,Somalia,8/6/2020,3227,0,93,0
31146,South Africa,8/6/2020,538184,8307,9604,306
31147,South America,8/6/2020,4530764,86714,154694,2114
31148,South Korea,8/6/2020,14519,20,303,1
31149,South Sudan,8/6/2020,2450,13,47,0
31150,Spain,8/6/2020,309855,4088,28500,1
31151,Sri Lanka,8/6/2020,2839,0,11,0
31152,Sudan,8/6/2020,11850,70,763,0
31153,Suriname,8/6/2020,2096,46,29,2
31154,Sweden,8/6/2020,78719,378,5766,6
31155,Switzerland,8/6/2020,36108,181,1985,1
31156,Syria,8/6/2020,999,55,48,0
31157,Taiwan,8/6/2020,477,1,7,0
31158,Tajikistan,8/6/2020,7665,40,62,1
31159,Tanzania,8/6/2020,509,0,21,0
31160,Thailand,8/6/2020,3330,2,58,0
31161,Timor,8/6/2020,25,0,,
31162,Togo,8/6/2020,1012,11,22,1
31163,Trinidad and Tobago,8/6/2020,210,11,8,0
31164,Tunisia,8/6/2020,1642,41,51,0
31165,Turkey,8/6/2020,237265,1153,5798,14
31166,Uganda,8/6/2020,1223,10,5,0
31167,Ukraine,8/6/2020,78515,1346,1846,33
31168,United Arab Emirates,8/6/2020,61845,239,354,1
31169,United Kingdom,8/6/2020,309796,964,41343,18
31170,United States,8/6/2020,4887293,59357,160226,1244
31171,Uruguay,8/6/2020,1318,9,37,0
31172,Uzbekistan,8/6/2020,28315,522,175,4
31173,Vatican,8/6/2020,12,0,,
31174,Venezuela,8/6/2020,23280,981,202,7
31175,Vietnam,8/6/2020,750,33,10,1
31176,World,8/6/2020,19110291,285202,710050,6491
31177,Yemen,8/6/2020,1768,5,508,0
31178,Zambia,8/6/2020,7164,142,199,23
31179,Zimbabwe,8/6/2020,4339,118,84,3
31180,Afghanistan,8/7/2020,37006,78,1310,9
31181,Africa,8/7/2020,1021711,13492,22508,439
31182,Albania,8/7/2020,6151,135,189,1
31183,Algeria,8/7/2020,34155,529,1282,9
31184,Andorra,8/7/2020,955,11,52,0
31185,Angola,8/7/2020,1538,55,67,3
31186,Antigua and Barbuda,8/7/2020,92,0,3,0
31187,Argentina,8/7/2020,235677,7482,4411,160
31188,Armenia,8/7/2020,39985,166,777,5
31189,Asia,8/7/2020,4877477,90732,106740,1431
31190,Australia,8/7/2020,20698,426,278,12
31191,Austria,8/7/2020,21837,141,720,1
31192,Azerbaijan,8/7/2020,33376,129,483,4
31193,Bahamas,8/7/2020,830,69,14,0
31194,Bahrain,8/7/2020,43307,418,159,3
31195,Bangladesh,8/7/2020,252502,2851,3333,27
31196,Barbados,8/7/2020,138,5,7,0
31197,Belarus,8/7/2020,68614,111,583,3
31198,Belgium,8/7/2020,72784,768,9866,5
31199,Belize,8/7/2020,114,0,2,0
31200,Benin,8/7/2020,1936,0,38,0
31201,Bhutan,8/7/2020,108,0,,
31202,Bolivia,8/7/2020,87891,1468,3524,59
31203,Bosnia and Herzegovina,8/7/2020,13687,291,394,10
31204,Botswana,8/7/2020,804,0,2,0
31205,Brazil,8/7/2020,2962442,50230,99572,1079
31206,Brunei,8/7/2020,142,1,3,0
31207,Bulgaria,8/7/2020,13209,195,442,7
31208,Burkina Faso,8/7/2020,1158,0,54,0
31209,Burundi,8/7/2020,400,0,1,0
31210,Cambodia,8/7/2020,246,3,,
31211,Cameroon,8/7/2020,17718,0,391,0
31212,Canada,8/7/2020,120903,516,9060,5
31213,Cape Verde,8/7/2020,2780,46,29,2
31214,Central African Republic,8/7/2020,4641,21,59,0
31215,Chad,8/7/2020,942,0,76,0
31216,Chile,8/7/2020,368825,2154,9958,69
31217,China,8/7/2020,88580,120,4681,1
31218,Colombia,8/7/2020,367204,9494,12250,311
31219,Comoros,8/7/2020,396,0,7,0
31220,Congo,8/7/2020,3637,91,58,0
31221,Costa Rica,8/7/2020,22081,1011,218,18
31222,Cote d'Ivoire,8/7/2020,16524,77,104,1
31223,Croatia,8/7/2020,5466,62,155,0
31224,Cuba,8/7/2020,2829,54,88,0
31225,Cyprus,8/7/2020,1222,14,19,0
31226,Czechia,8/7/2020,18060,329,389,-1
31227,Democratic Republic of Congo,8/7/2020,9355,46,218,3
31228,Denmark,8/7/2020,14747,161,617,0
31229,Djibouti,8/7/2020,5338,8,59,0
31230,Dominica,8/7/2020,18,0,,
31231,Dominican Republic,8/7/2020,77709,1173,1259,13
31232,Ecuador,8/7/2020,91969,1432,5897,20
31233,Egypt,8/7/2020,95147,141,4971,20
31234,El Salvador,8/7/2020,19544,418,520,7
31235,Equatorial Guinea,8/7/2020,4821,0,83,0
31236,Eritrea,8/7/2020,285,3,,
31237,Estonia,8/7/2020,2133,9,63,0
31238,Eswatini,8/7/2020,3036,68,56,1
31239,Ethiopia,8/7/2020,21452,552,380,15
31240,Europe,8/7/2020,3010286,23706,200661,314
31241,European Union,8/7/2020,1526517,14254,136868,117
31242,Fiji,8/7/2020,27,0,1,0
31243,Finland,8/7/2020,7554,22,331,0
31244,France,8/7/2020,237332,2387,30328,13
31245,Gabon,8/7/2020,7923,136,51,0
31246,Gambia,8/7/2020,1090,155,19,3
31247,Georgia,8/7/2020,1213,7,17,0
31248,Germany,8/7/2020,216196,1157,9195,14
31249,Ghana,8/7/2020,40097,455,206,7
31250,Greece,8/7/2020,5270,147,210,0
31251,Grenada,8/7/2020,24,0,,
31252,Guatemala,8/7/2020,55270,931,2168,49
31253,Guinea,8/7/2020,7777,113,50,1
31254,Guinea-Bissau,8/7/2020,2032,0,27,0
31255,Guyana,8/7/2020,538,0,22,0
31256,Haiti,8/7/2020,7544,12,171,0
31257,Honduras,8/7/2020,46365,610,1465,19
31258,Hong Kong,8/7/2020,,,,
31259,Hungary,8/7/2020,4621,24,602,2
31260,Iceland,8/7/2020,1952,20,10,0
31261,India,8/7/2020,2088611,61537,42518,933
31262,Indonesia,8/7/2020,121226,2473,5593,72
31263,International,8/7/2020,721,0,15,0
31264,Iran,8/7/2020,322567,2450,18132,156
31265,Iraq,8/7/2020,144064,3461,5236,75
31266,Ireland,8/7/2020,26470,98,1772,4
31267,Israel,8/7/2020,81727,1764,646,12
31268,Italy,8/7/2020,249756,552,35190,3
31269,Jamaica,8/7/2020,987,29,13,1
31270,Japan,8/7/2020,45764,1597,1042,8
31271,Jordan,8/7/2020,1237,5,11,0
31272,Kazakhstan,8/7/2020,107930,2404,1109,0
31273,Kenya,8/7/2020,25138,727,413,14
31274,Kosovo,8/7/2020,9869,181,303,3
31275,Kuwait,8/7/2020,70727,682,471,2
31276,Kyrgyzstan,8/7/2020,39162,503,1451,4
31277,Laos,8/7/2020,20,0,,
31278,Latvia,8/7/2020,1281,6,32,0
31279,Lebanon,8/7/2020,5951,279,70,0
31280,Lesotho,8/7/2020,742,0,23,0
31281,Liberia,8/7/2020,1230,6,78,0
31282,Libya,8/7/2020,5079,200,108,1
31283,Liechtenstein,8/7/2020,89,0,1,0
31284,Lithuania,8/7/2020,2189,24,64,0
31285,Luxembourg,8/7/2020,7113,40,119,0
31286,Madagascar,8/7/2020,12708,182,135,1
31287,Malawi,8/7/2020,4575,84,137,0
31288,Malaysia,8/7/2020,9063,25,125,0
31289,Maldives,8/7/2020,4769,89,19,0
31290,Mali,8/7/2020,2561,9,125,1
31291,Malta,8/7/2020,995,49,9,0
31292,Mauritania,8/7/2020,6498,54,157,0
31293,Mauritius,8/7/2020,344,0,10,0
31294,Mexico,8/7/2020,469407,6717,51311,794
31295,Moldova,8/7/2020,26990,362,835,7
31296,Monaco,8/7/2020,128,3,4,0
31297,Mongolia,8/7/2020,293,0,,
31298,Montenegro,8/7/2020,3549,69,61,1
31299,Morocco,8/7/2020,30662,1018,461,12
31300,Mozambique,8/7/2020,2213,93,15,0
31301,Myanmar,8/7/2020,359,2,6,0
31302,Namibia,8/7/2020,2802,150,16,1
31303,Nepal,8/7/2020,22214,464,70,5
31304,Netherlands,8/7/2020,58117,652,6174,1
31305,New Zealand,8/7/2020,1569,0,22,0
31306,Nicaragua,8/7/2020,3902,0,123,0
31307,Niger,8/7/2020,1153,0,69,0
31308,Nigeria,8/7/2020,45687,443,936,6
31309,North America,8/7/2020,5847230,71999,229484,2160
31310,North Macedonia,8/7/2020,11554,155,519,2
31311,Norway,8/7/2020,9551,83,256,0
31312,Oceania,8/7/2020,22482,451,304,12
31313,Oman,8/7/2020,81067,354,502,10
31314,Pakistan,8/7/2020,282645,782,6052,17
31315,Palestine,8/7/2020,13722,324,94,2
31316,Panama,8/7/2020,72560,1142,1591,17
31317,Papua New Guinea,8/7/2020,188,25,3,0
31318,Paraguay,8/7/2020,6508,133,69,3
31319,Peru,8/7/2020,463875,8466,20649,225
31320,Philippines,8/7/2020,122754,3294,2168,18
31321,Poland,8/7/2020,50324,809,1787,13
31322,Portugal,8/7/2020,52351,290,1746,3
31323,Qatar,8/7/2020,112383,291,180,2
31324,Romania,8/7/2020,59273,1378,2616,50
31325,Russia,8/7/2020,875378,5191,14698,119
31326,Rwanda,8/7/2020,2128,17,5,0
31327,Saint Kitts and Nevis,8/7/2020,17,0,,
31328,Saint Lucia,8/7/2020,25,0,,
31329,Saint Vincent and the Grenadines,8/7/2020,56,0,,
31330,San Marino,8/7/2020,699,0,42,0
31331,Sao Tome and Principe,8/7/2020,878,0,15,0
31332,Saudi Arabia,8/7/2020,285793,1567,3093,38
31333,Senegal,8/7/2020,10887,172,225,2
31334,Serbia,8/7/2020,27608,276,626,5
31335,Seychelles,8/7/2020,126,0,,
31336,Sierra Leone,8/7/2020,1887,10,68,1
31337,Singapore,8/7/2020,54797,242,27,0
31338,Slovakia,8/7/2020,2523,43,31,2
31339,Slovenia,8/7/2020,2233,10,125,0
31340,Somalia,8/7/2020,3227,0,93,0
31341,South Africa,8/7/2020,545476,7292,9909,305
31342,South America,8/7/2020,4612623,81859,156626,1932
31343,South Korea,8/7/2020,14562,43,304,1
31344,South Sudan,8/7/2020,2450,0,47,0
31345,Spain,8/7/2020,314362,4507,28503,3
31346,Sri Lanka,8/7/2020,2839,0,11,0
31347,Sudan,8/7/2020,11894,44,773,10
31348,Suriname,8/7/2020,2203,107,29,0
31349,Sweden,8/7/2020,79099,380,5763,-3
31350,Switzerland,8/7/2020,36269,161,1986,1
31351,Syria,8/7/2020,1060,61,48,0
31352,Taiwan,8/7/2020,477,0,7,0
31353,Tajikistan,8/7/2020,7706,41,62,0
31354,Tanzania,8/7/2020,509,0,21,0
31355,Thailand,8/7/2020,3345,15,58,0
31356,Timor,8/7/2020,25,0,,
31357,Togo,8/7/2020,1028,16,22,0
31358,Trinidad and Tobago,8/7/2020,225,15,8,0
31359,Tunisia,8/7/2020,1656,14,51,0
31360,Turkey,8/7/2020,238450,1185,5813,15
31361,Uganda,8/7/2020,1254,31,6,1
31362,Ukraine,8/7/2020,80018,1503,1879,33
31363,United Arab Emirates,8/7/2020,62061,216,356,2
31364,United Kingdom,8/7/2020,310696,900,41355,12
31365,United States,8/7/2020,4946590,59297,161463,1237
31366,Uruguay,8/7/2020,1325,7,37,0
31367,Uzbekistan,8/7/2020,29057,742,181,6
31368,Vatican,8/7/2020,12,0,,
31369,Venezuela,8/7/2020,24166,886,208,6
31370,Vietnam,8/7/2020,789,39,10,0
31371,World,8/7/2020,19392530,282239,716338,6288
31372,Yemen,8/7/2020,1796,28,512,4
31373,Zambia,8/7/2020,7486,322,200,1
31374,Zimbabwe,8/7/2020,4451,112,102,18
31375,Afghanistan,8/8/2020,37046,40,1315,5
31376,Africa,8/8/2020,1035919,14208,22921,413
31377,Albania,8/8/2020,6275,124,193,4
31378,Algeria,8/8/2020,34693,538,1293,11
31379,Andorra,8/8/2020,955,0,52,0
31380,Angola,8/8/2020,1572,34,70,3
31381,Antigua and Barbuda,8/8/2020,92,0,3,0
31382,Argentina,8/8/2020,241811,6134,4523,112
31383,Armenia,8/8/2020,40185,200,785,8
31384,Asia,8/8/2020,4968470,90993,108089,1349
31385,Australia,8/8/2020,21084,386,295,17
31386,Austria,8/8/2020,21919,82,721,1
31387,Azerbaijan,8/8/2020,33481,105,488,5
31388,Bahamas,8/8/2020,878,48,14,0
31389,Bahrain,8/8/2020,43629,322,161,2
31390,Bangladesh,8/8/2020,255113,2611,3365,32
31391,Barbados,8/8/2020,138,0,7,0
31392,Belarus,8/8/2020,68738,124,585,2
31393,Belgium,8/8/2020,73401,617,9870,4
31394,Belize,8/8/2020,146,32,2,0
31395,Benin,8/8/2020,1936,0,38,0
31396,Bhutan,8/8/2020,108,0,,
31397,Bolivia,8/8/2020,89055,1164,3587,63
31398,Bosnia and Herzegovina,8/8/2020,13687,0,394,0
31399,Botswana,8/8/2020,804,0,2,0
31400,Brazil,8/8/2020,3012412,49970,100477,905
31401,Brunei,8/8/2020,142,0,3,0
31402,Bulgaria,8/8/2020,13343,134,445,3
31403,Burkina Faso,8/8/2020,1175,17,54,0
31404,Burundi,8/8/2020,405,5,1,0
31405,Cambodia,8/8/2020,248,2,,
31406,Cameroon,8/8/2020,18042,324,395,4
31407,Canada,8/8/2020,121148,245,9064,4
31408,Cape Verde,8/8/2020,2835,55,32,3
31409,Central African Republic,8/8/2020,4641,0,59,0
31410,Chad,8/8/2020,942,0,76,0
31411,Chile,8/8/2020,371023,2198,10011,53
31412,China,8/8/2020,88672,92,4681,0
31413,Colombia,8/8/2020,376870,9666,12540,290
31414,Comoros,8/8/2020,399,3,7,0
31415,Congo,8/8/2020,3664,27,58,0
31416,Costa Rica,8/8/2020,22802,721,228,10
